Time (s),Signal (V),Peak Time (s) ,Sample #,Type
01.084,2.112836365,,,
01.086,2.458693891,,,
01.088,2.40105097,,,
01.090,2.4154617,,,
01.092,2.963069449,,,
01.094,3.222462594,,,
01.096,2.40105097,,,
01.098,2.545158272,,,
01.100,2.42987243,,,
01.102,1.911086142,,,
01.104,1.968729062,,,
01.106,2.228122207,,,
01.108,2.617211924,,,
01.110,2.963069449,,,
01.112,3.193641133,,,
01.114,2.97748018,,,
01.116,2.761319226,,,
01.118,2.199300746,,,
01.120,2.069604174,,,
01.122,2.084014904,,,
01.124,2.573979733,,,
01.126,2.127247095,,,
01.128,2.242532937,,,
01.130,2.775729956,,,
01.132,2.790140687,,,
01.134,2.646033384,,,
01.136,2.559569003,,,
01.138,2.271354398,,,
01.140,2.184890016,,,
01.142,1.7958003,,,
01.144,1.939907602,,,
01.146,2.271354398,,,
01.148,2.458693891,,,
01.150,2.761319226,,,
01.152,3.02071237,,,
01.154,2.948658719,,,
01.156,2.689265575,,,
01.158,2.213711477,,,
01.160,2.055193444,,,
01.162,1.82462176,,,
01.164,1.81021103,,,
01.166,2.069604174,,,
01.168,2.99189091,,,
01.170,2.703676305,,,
01.172,2.703676305,,,
01.174,2.573979733,,,
01.176,2.718087035,,,
01.178,2.573979733,,,
01.180,2.328997319,,,
01.182,1.925496872,,,
01.184,1.997550523,,,
01.186,1.882264681,,,
01.188,2.314586588,,,
01.190,2.689265575,,,
01.192,3.02071237,,,
01.194,2.559569003,,,
01.196,2.530747542,,,
01.198,2.487515351,,,
01.200,1.882264681,,,
01.202,1.680514458,,,
01.204,1.766978839,,,
01.206,2.228122207,,,
01.208,2.559569003,,,
01.210,2.559569003,,,
01.212,2.847783608,,,
01.214,2.818962147,,,
01.216,2.617211924,,,
01.218,2.069604174,,,
01.220,1.968729062,,,
01.222,2.170479286,,,
01.224,2.040782714,,,
01.226,2.141657825,,,
01.228,2.112836365,,,
01.230,2.42987243,,,
01.232,3.035123101,,,
01.234,2.732497766,,,
01.236,2.473104621,,,
01.238,2.040782714,,,
01.240,1.7958003,,,
01.242,1.738157379,,,
01.244,2.184890016,,,
01.246,2.242532937,,,
01.248,2.746908496,,,
01.250,3.02071237,,,
01.252,2.963069449,,,
01.254,2.588390463,,,
01.256,2.660444114,,,
01.258,2.328997319,,,
01.260,1.997550523,,,
01.262,1.766978839,,,
01.264,1.882264681,,,
01.266,1.83903249,,,
01.268,2.617211924,,,
01.270,2.97748018,,,
01.272,2.732497766,,,
01.274,2.357818779,,,
01.276,2.458693891,,,
01.278,2.213711477,,,
01.280,2.040782714,,,
01.282,1.723746648,,,
01.284,2.156068556,,,
01.286,2.660444114,,,
01.288,2.718087035,,,
01.290,2.818962147,,,
01.292,2.934247989,,,
01.294,2.847783608,,,
01.296,2.631622654,,,
01.298,2.242532937,,,
01.300,2.084014904,,,
01.302,2.026371983,,,
01.304,1.867853951,,,
01.306,2.055193444,,,
01.308,2.703676305,,,
01.310,2.833372877,,,
01.312,2.631622654,,,
01.314,2.559569003,,,
01.316,2.501926082,,,
01.318,2.040782714,,,
01.320,1.968729062,,,
01.322,1.896675411,,,
01.324,2.069604174,,,
01.326,2.328997319,,,
01.328,2.588390463,,,
01.330,2.97748018,,,
01.332,3.035123101,,,
01.334,2.804551417,,,
01.336,2.473104621,,,
01.338,2.199300746,,,
01.340,2.069604174,,,
01.342,1.81021103,,,
01.344,1.997550523,,,
01.346,2.213711477,,,
01.348,2.516336812,,,
01.350,2.833372877,,,
01.352,3.193641133,,,
01.354,2.862194338,,,
01.356,2.314586588,,,
01.358,1.7958003,,,
01.360,2.040782714,,,
01.362,2.300175858,,,
01.364,2.271354398,,,
01.366,2.718087035,,,
01.368,2.948658719,,,
01.370,2.559569003,,,
01.372,3.00630164,,,
01.374,2.761319226,,,
01.376,2.141657825,,,
01.378,1.968729062,,,
01.380,2.069604174,,,
01.382,2.228122207,,,
01.384,1.997550523,,,
01.386,2.314586588,,,
01.388,3.107176752,,,
01.390,3.107176752,,,
01.392,3.02071237,,,
01.394,3.193641133,,,
01.396,2.934247989,,,
01.398,2.242532937,,,
01.400,2.040782714,,,
01.402,2.026371983,,,
01.404,2.271354398,,,
01.406,2.530747542,,,
01.408,2.891015798,,,
01.410,3.222462594,,,
