Time (s),Signal (V),Peak Time (s),Sample #,Type
01.604,1.789570183,,,
01.606,1.98331559,,,
01.608,2.029814488,,,
01.610,1.975565774,,,
01.612,1.890317795,,,
01.614,1.789570183,,,
01.616,1.696572388,,,
01.618,1.634573858,,,
01.620,1.681072755,,,
01.622,1.789570183,,,
01.624,1.812819632,,,
01.626,1.960066141,,,
01.628,2.04531412,,,
01.630,2.006565039,,,
01.632,1.991065406,,,
01.634,1.867068346,,,
01.636,1.735321469,,,
01.638,1.665573123,,,
01.640,1.681072755,,,
01.642,1.781820367,,,
01.644,1.905817427,,,
01.646,2.099562834,,,
01.648,2.107312651,,,
01.650,2.022064672,,,
01.652,1.967815958,,,
01.654,1.913567244,,,
01.656,1.836069081,,,
01.658,1.743071286,,,
01.660,1.750821102,,,
01.662,1.913567244,,,
01.664,1.944566509,,,
01.666,2.122812283,,,
01.668,2.184810813,,,
01.670,2.153811548,,,
01.672,2.084063202,,,
01.674,1.960066141,,,
01.676,1.836069081,,,
01.678,1.79732,,,
01.680,1.867068346,,,
01.682,1.967815958,,,
01.684,2.177060997,,,
01.686,2.270058792,,,
01.688,2.270058792,,,
01.690,2.239059527,,,
01.692,2.25455916,,,
01.694,2.107312651,,,
01.696,1.952316325,,,
01.698,1.929066876,,,
01.700,1.975565774,,,
01.702,2.130562099,,,
01.704,2.246809344,,,
01.706,2.425055118,,,
01.708,2.394055853,,,
01.710,2.448304567,,,
01.712,2.363056588,,,
01.714,2.231309711,,,
01.716,2.084063202,,,
01.718,1.998815223,,,
01.720,2.029814488,,,
01.722,2.138311916,,,
01.724,2.324307506,,,
01.726,2.44055475,,,
01.728,2.518052913,,,
01.730,2.432804934,,,
01.732,2.31655769,,,
01.734,2.169311181,,,
01.736,2.060813753,,,
01.738,2.037564304,,,
01.740,2.115062467,,,
01.742,2.091813018,,,
01.744,2.332057323,,,
01.746,2.425055118,,,
01.748,2.448304567,,,
01.750,2.37855622,,,
01.752,2.285558425,,,
01.754,2.029814488,,,
01.756,1.998815223,,,
01.758,1.98331559,,,
01.760,1.975565774,,,
01.762,2.014314855,,,
01.764,2.177060997,,,
01.766,2.246809344,,,
01.768,2.200310446,,,
01.770,2.146061732,,,
01.772,2.099562834,,,
01.774,1.944566509,,,
01.776,1.758570918,,,
01.778,1.712072021,,,
01.780,1.867068346,,,
01.782,1.913567244,,,
01.784,1.991065406,,,
01.786,2.091813018,,,
01.788,2.068563569,,,
01.790,2.006565039,,,
01.792,1.960066141,,,
01.794,1.758570918,,,
01.796,1.665573123,,,
01.798,1.65007349,,,
01.800,1.719821837,,,
01.802,1.820569448,,,
01.804,1.998815223,,,
01.806,2.029814488,,,
01.808,2.014314855,,,
